Expt,Subject,Session,TE,Cond,RCL-L6p,INT_list6,TEST_EXP1,TEST_EXP2,TEST_EXP3,TEST_EXP4,TEST_EXP5,TEST_EXP6,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
1,229,2,NTE,Not-Tested,0,1,,,,,,,,,,,,0
1,232,1,NTE,Not-Tested,0.27,5,,,,,,,,,,,,-1
1,233,2,NTE,Not-Tested,0.13,0,,,,,,,,,,,,0
1,234,3,NTE,Not-Tested,0.13,5,,,,,,,,,,,,0
1,235,4,NTE,Not-Tested,0.33,1,,,,,,,,,,,,-0.25
1,236,1,NTE,Not-Tested,0.67,2,,,,,,,,,,,,0.74
1,237,2,NTE,Not-Tested,0.2,1,,,,,,,,,,,,0
1,238,3,NTE,Not-Tested,0.33,1,,,,,,,,,,,,-0.67
1,239,4,NTE,Not-Tested,0.2,0,,,,,,,,,,,,-2
1,240,1,NTE,Not-Tested,0.4,0,,,,,,,,,,,,0.5
1,241,2,NTE,Not-Tested,1,0,,,,,,,,,,,,1
1,242,3,NTE,Not-Tested,0.07,3,,,,,,,,,,,,0
1,243,4,NTE,Not-Tested,0.8,0,,,,,,,,,,,,0.06
1,245,2,NTE,Not-Tested,0.13,5,,,,,,,,,,,,0
1,246,3,NTE,Not-Tested,0.33,1,,,,,,,,,,,,-0.67
1,247,4,NTE,Not-Tested,0,7,,,,,,,,,,,,0
1,248,1,NTE,Not-Tested,0.47,2,,,,,,,,,,,,-0.08
1,249,2,NTE,Not-Tested,0.2,0,,,,,,,,,,,,0
1,253,2,NTE,Not-Tested,0.33,3,,,,,,,,,,,,-0.67
1,254,3,NTE,Not-Tested,0.27,1,,,,,,,,,,,,-1
1,255,4,NTE,Not-Tested,0.8,0,,,,,,,,,,,,0.06
1,256,1,NTE,Not-Tested,0.27,2,,,,,,,,,,,,1
1,258,3,NTE,Not-Tested,0.13,1,,,,,,,,,,,,0
2,100,1,NTE,Always-Tested,0.8,0,,,,,,,1,0.47,0.17,0.31,1,0.27
2,101,2,NTE,Always-Tested,0.67,0,,,,,,,0.25,0.58,0.63,0.68,0.16,0.17
2,102,3,NTE,Always-Tested,0.47,1,,,,,,,0.17,0.64,0.25,0.65,0,0.13
2,103,4,NTE,Always-Tested,0.53,1,,,,,,,0.31,-0.17,0.44,0.3,0.5,0.56
2,104,5,NTE,Always-Tested,0.2,1,,,,,,,0.65,-0.06,-0.67,-0.05,1,0
2,105,6,NTE,Always-Tested,0.4,0,,,,,,,0.63,-0.5,0.23,0.27,0.5,-0.5
2,106,1,NTE,Always-Tested,0.53,0,,,,,,,0.25,0.17,0,-0.5,0.56,0.5
2,107,2,NTE,Always-Tested,0.87,0,,,,,,,0.22,0.86,0.84,0.84,1,0.84
2,108,3,NTE,Always-Tested,0.8,0,,,,,,,0.22,0.65,-0.04,0.65,0.46,0.82
2,109,4,NTE,Always-Tested,0.67,0,,,,,,,-0.05,0.34,0.44,1,0.3,0.21
2,110,5,NTE,Always-Tested,0.87,0,,,,,,,0.52,0.21,1,-0.11,0.03,0.37
2,111,6,NTE,Always-Tested,0.47,2,,,,,,,0.74,-0.33,0.37,0,0.07,-0.62
2,112,1,NTE,Always-Tested,0,2,,,,,,,1,0.46,0.46,1,0,0
2,114,3,NTE,Always-Tested,0.47,0,,,,,,,-0.4,-0.5,-0.67,0.53,-0.33,-0.5
2,116,5,NTE,Always-Tested,0.87,0,,,,,,,0.52,0.72,1,0.68,0.81,0.68
2,117,6,NTE,Always-Tested,0.87,0,,,,,,,-0.25,-0.25,0.21,0,0.02,-0.27
2,118,1,NTE,Always-Tested,0.33,1,,,,,,,0.05,0.78,0.44,0.58,0.68,-0.67
2,119,2,NTE,Always-Tested,0.87,0,,,,,,,0.33,0.52,0.58,0.52,0.38,0.52
2,120,3,NTE,Always-Tested,0.8,0,,,,,,,0.45,0.56,0.56,0.63,0.3,0.5
2,121,4,NTE,Always-Tested,0.2,0,,,,,,,0.34,-0.14,1,0.3,1,0
2,123,6,NTE,Always-Tested,0.47,0,,,,,,,0,-0.1,0.44,0.45,1,1
2,124,1,NTE,Always-Tested,1,0,,,,,,,0.13,0.44,1,-0.12,0.02,-0.16
2,125,2,NTE,Always-Tested,0.67,0,,,,,,,0.37,0.65,-0.08,0.02,-0.05,0.47
2,127,4,NTE,Always-Tested,0.53,0,,,,,,,-0.09,-0.38,-0.32,1,0.45,1
2,128,5,NTE,Always-Tested,0.53,0,,,,,,,0.17,0.78,0.82,0.44,1,1
2,129,6,NTE,Always-Tested,0.93,0,,,,,,,0.25,0.3,0.44,0.45,0.58,0.02
2,130,1,NTE,Always-Tested,1,0,,,,,,,0.58,0.82,0.68,0.52,0.52,0.63
2,131,2,NTE,Always-Tested,0.47,0,,,,,,,0,0.13,0.13,1,1,-0.08
2,132,3,NTE,Always-Tested,0.67,1,,,,,,,0.64,-0.2,0,1,0,0.74
2,133,4,NTE,Always-Tested,0.73,0,,,,,,,0.31,0.72,0.34,0.56,1,0.77
2,134,5,NTE,Always-Tested,0.47,0,,,,,,,0.63,-0.11,0.16,0.44,1,-0.4
2,135,6,NTE,Always-Tested,0.87,0,,,,,,,0.38,0.16,-0.05,0.05,-0.1,0.37
2,136,1,NTE,Always-Tested,0.53,0,,,,,,,1,-1,0,0.34,0.44,0.5
2,137,2,NTE,Always-Tested,0.33,2,,,,,,,0.13,0,0.46,0,1,1
2,138,3,NTE,Always-Tested,1,0,,,,,,,0.58,0.88,0.63,0.63,0.84,0.75
2,139,4,NTE,Always-Tested,0.53,0,,,,,,,-0.5,-0.04,-0.4,0.04,1,0.53
2,140,5,NTE,Always-Tested,0.4,2,,,,,,,0.15,0.74,-0.11,-0.4,1,1
2,141,6,NTE,Always-Tested,0.33,0,,,,,,,0.37,-0.25,0.3,-0.2,-0.67,1
2,142,1,NTE,Always-Tested,1,0,,,,,,,0.63,0.63,0.3,-0.25,0.38,0
2,143,2,NTE,Always-Tested,0.73,0,,,,,,,0.72,0.78,1,0.82,1,0.34
2,145,4,NTE,Always-Tested,0.33,1,,,,,,,-0.5,-0.5,0,0,0,1
2,300,1,NTE,Early-Tested,0.87,0,,,,,,,0.12,0.84,0.84,,,0.68
2,301,2,NTE,Early-Tested,0.13,0,,,,,,,0.11,1,0.49,,,0
2,303,4,NTE,Early-Tested,0.67,1,,,,,,,0.12,0.84,0.55,,,0.65
2,304,5,NTE,Early-Tested,0.47,0,,,,,,,0.54,0.5,0.75,,,1
2,305,6,NTE,Early-Tested,0.93,1,,,,,,,0.16,0.52,0.02,,,0.58
2,306,1,NTE,Early-Tested,0.8,0,,,,,,,0.17,0.56,1,,,1
2,307,2,NTE,Early-Tested,0.73,0,,,,,,,0.27,0.02,0.05,,,-0.25
2,309,4,NTE,Early-Tested,0.87,0,,,,,,,0.58,0.44,-0.13,,,-1
2,310,5,NTE,Early-Tested,0.47,2,,,,,,,-0.4,0.77,1,,,-0.08
2,311,6,NTE,Early-Tested,0.13,2,,,,,,,-0.04,0.27,1,,,0
2,312,1,NTE,Early-Tested,0.93,0,,,,,,,0.37,0.13,0.75,,,0.72
2,314,3,NTE,Early-Tested,0.6,2,,,,,,,1,1,0.84,,,0.65
2,315,4,NTE,Early-Tested,0.4,1,,,,,,,0.45,1,0.37,,,0.5
2,316,5,NTE,Early-Tested,0.4,0,,,,,,,-0.06,0.56,0.16,,,1
2,317,6,NTE,Early-Tested,0.13,10,,,,,,,0.44,0.37,0.5,,,0
2,318,1,NTE,Early-Tested,0.27,0,,,,,,,0.3,-0.4,0.07,,,0
2,319,2,NTE,Early-Tested,0.87,0,,,,,,,0.5,0.84,0.3,,,0.64
2,320,3,NTE,Early-Tested,0.93,1,,,,,,,1,1,0.68,,,0.86
2,321,4,NTE,Early-Tested,0.67,0,,,,,,,0.72,0.45,0.34,,,1
2,323,6,NTE,Early-Tested,0.87,1,,,,,,,0.3,0.42,0.25,,,1
2,324,1,NTE,Early-Tested,0.33,2,,,,,,,0.37,1,-0.1,,,-0.25
2,325,2,NTE,Early-Tested,0,4,,,,,,,0.56,0.4,0.56,,,0
2,326,3,NTE,Early-Tested,0.53,0,,,,,,,0.56,0.11,0.11,,,1
2,327,4,NTE,Early-Tested,0.4,0,,,,,,,0.37,0.65,-0.08,,,0
2,328,5,NTE,Early-Tested,0.47,1,,,,,,,0.52,-0.12,-0.13,,,-0.4
2,329,6,NTE,Early-Tested,0.27,0,,,,,,,0,1,0,,,-1
2,331,2,NTE,Early-Tested,0.33,0,,,,,,,0.36,0.11,0.45,,,-1
2,332,3,NTE,Early-Tested,0,4,,,,,,,-0.67,0.13,-0.25,,,0
2,333,4,NTE,Early-Tested,0.53,1,,,,,,,0.15,0.17,0.12,,,0.31
2,334,5,NTE,Early-Tested,0,1,,,,,,,-0.4,0.11,0,,,0
2,335,6,NTE,Early-Tested,0,5,,,,,,,0.3,-0.62,0.56,,,0
2,336,1,NTE,Early-Tested,0.4,8,,,,,,,0.05,0.44,0.38,,,-0.5
2,337,2,NTE,Early-Tested,0.27,5,,,,,,,0.37,0.5,0.56,,,-1
2,338,3,NTE,Early-Tested,0.67,0,,,,,,,0.36,0.52,0.37,,,0.21
2,341,2,NTE,Early-Tested,0.4,2,,,,,,,0.46,0.05,0.31,,,0.07
2,342,3,NTE,Early-Tested,0.53,0,,,,,,,0.44,0.78,0.77,,,0
2,344,6,NTE,Early-Tested,0,5,,,,,,,-0.05,-0.06,0.42,,,0
2,346,5,NTE,Early-Tested,0.8,0,,,,,,,0.72,0.74,0.63,,,1
2,347,1,NTE,Early-Tested,0.6,0,,,,,,,0.12,0.63,1,,,0.68
2,349,3,NTE,Early-Tested,0.13,0,,,,,,,0.12,0.63,0.47,,,0
2,350,4,NTE,Early-Tested,0.2,1,,,,,,,0.47,0.61,-0.05,,,-2
2,351,5,NTE,Early-Tested,0.27,1,,,,,,,0.45,0.07,0.82,,,-1
2,200,1,NTE,Not-Tested,0.33,0,,,,,,,,,,,,-0.67
2,203,4,NTE,Not-Tested,0.2,1,,,,,,,,,,,,1
2,204,5,NTE,Not-Tested,0.4,0,,,,,,,,,,,,0.25
2,206,1,NTE,Not-Tested,0.13,3,,,,,,,,,,,,0
2,207,2,NTE,Not-Tested,0.67,0,,,,,,,,,,,,0.32
2,208,3,NTE,Not-Tested,0.8,0,,,,,,,,,,,,1
2,209,4,NTE,Not-Tested,0.67,1,,,,,,,,,,,,0.55
2,210,5,NTE,Not-Tested,0.4,11,,,,,,,,,,,,1
2,211,6,NTE,Not-Tested,0.13,0,,,,,,,,,,,,0
2,212,1,NTE,Not-Tested,0.73,0,,,,,,,,,,,,0.04
2,213,2,NTE,Not-Tested,0.07,0,,,,,,,,,,,,0
2,214,3,NTE,Not-Tested,0.2,2,,,,,,,,,,,,1
2,215,4,NTE,Not-Tested,0,0,,,,,,,,,,,,0
2,216,5,NTE,Not-Tested,0.87,0,,,,,,,,,,,,0.19
2,217,6,NTE,Not-Tested,0.27,4,,,,,,,,,,,,1
2,218,1,NTE,Not-Tested,0.33,2,,,,,,,,,,,,-1
2,222,5,NTE,Not-Tested,0.47,1,,,,,,,,,,,,1
2,223,6,NTE,Not-Tested,0.53,1,,,,,,,,,,,,0.27
2,224,1,NTE,Not-Tested,0.67,0,,,,,,,,,,,,0.55
2,225,2,NTE,Not-Tested,0.47,1,,,,,,,,,,,,0.3
2,226,3,NTE,Not-Tested,0.67,0,,,,,,,,,,,,-0.05
2,227,4,NTE,Not-Tested,0.2,2,,,,,,,,,,,,-2
2,228,5,NTE,Not-Tested,0.13,9,,,,,,,,,,,,0
2,229,6,NTE,Not-Tested,0.93,0,,,,,,,,,,,,0.44
2,230,1,NTE,Not-Tested,0.73,0,,,,,,,,,,,,-0.1
2,231,2,NTE,Not-Tested,0.93,0,,,,,,,,,,,,0.86
2,234,5,NTE,Not-Tested,0.07,3,,,,,,,,,,,,0
2,235,6,NTE,Not-Tested,0.07,1,,,,,,,,,,,,0
2,236,1,NTE,Not-Tested,0.27,1,,,,,,,,,,,,-1
2,237,2,NTE,Not-Tested,0.27,2,,,,,,,,,,,,-1
2,238,2,NTE,Not-Tested,0.33,2,,,,,,,,,,,,-0.67
2,239,3,NTE,Not-Tested,0.53,0,,,,,,,,,,,,0.64
2,240,4,NTE,Not-Tested,0.13,13,,,,,,,,,,,,0
2,241,5,NTE,Not-Tested,0.27,3,,,,,,,,,,,,-1
2,242,6,NTE,Not-Tested,0.33,5,,,,,,,,,,,,-0.67
2,243,2,NTE,Not-Tested,0.53,1,,,,,,,,,,,,0.11
2,245,4,NTE,Not-Tested,0.73,0,,,,,,,,,,,,-0.06
2,246,3,NTE,Not-Tested,0.87,0,,,,,,,,,,,,-0.27
2,249,1,NTE,Not-Tested,0.13,1,,,,,,,,,,,,0
2,251,3,NTE,Not-Tested,0.33,3,,,,,,,,,,,,0.17
2,254,6,NTE,Not-Tested,0.87,1,,,,,,,,,,,,0.37
2,257,3,NTE,Not-Tested,0.07,0,,,,,,,,,,,,0
3,102,2,TE,Always-Tested,0.6,0,74,52,82,90,80,50,-0.11,0.52,0.67,0,0,-0.04
3,103,3,TE,Always-Tested,0.866666667,1,73,78,84,90,100,99,0.54,0.31,0.11,1,0.71,1
3,104,4,TE,Always-Tested,0.8,0,100,100,100,100,100,100,0,0.42,-0.04,1,0.72,1
3,108,2,TE,Always-Tested,0.333333333,0,75,75,90,90,50,50,0.33,-0.67,1,0,0,-0.67
3,110,4,TE,Always-Tested,0.133333333,0,65,25,100,100,100,100,-0.5,0.21,0,1,0.3,0
3,112,6,TE,Always-Tested,0.6,0,50,25,10,50,50,100,-0.05,0.47,1,0.21,0.04,-0.09
3,113,1,TE,Always-Tested,0.533333333,2,70,20,100,100,50,50,0.72,0.68,0.68,0.78,1,1
3,114,2,TE,Always-Tested,0.666666667,1,90,90,100,100,100,100,-0.04,0.44,0.31,0.09,0.21,0.21
3,115,3,TE,Always-Tested,0.533333333,1,40,60,40,60,53,43,0.34,0.68,0,0.79,0.09,1
3,116,4,TE,Always-Tested,0.8,0,75,75,75,75,75,75,-0.05,0.44,0.27,1,1,0.82
3,117,5,TE,Always-Tested,0.533333333,3,50,60,90,100,100,100,1,-0.33,-0.04,-0.33,-0.2,1
3,118,6,TE,Always-Tested,0.866666667,0,75,100,100,100,100,100,0.37,0.51,0.63,0.56,0.21,0.84
3,119,1,TE,Always-Tested,0.666666667,0,50,25,100,100,100,100,0.69,0.67,0.72,1,0.84,0.55
3,120,2,TE,Always-Tested,0.933333333,0,80,80,30,20,10,2,0.3,0.44,1,0.75,0.86,0.58
3,121,3,TE,Always-Tested,0.466666667,1,50,25,25,100,100,100,-0.2,-0.09,0,0.17,-0.08,0.3
3,122,4,TE,Always-Tested,0.666666667,0,100,100,100,100,100,100,0.12,0.47,1,0.81,0.88,0.17
3,124,6,TE,Always-Tested,0.133333333,3,50,75,75,90,90,90,0.46,0,-0.25,-0.25,1,0
3,125,1,TE,Always-Tested,0.8,0,50,50,50,50,50,50,0.45,0.3,0.02,0.38,0.02,0.06
3,126,2,TE,Always-Tested,0.466666667,0,75,75,85,100,100,95,0.12,0,-0.2,1,0.27,-0.08
3,127,3,TE,Always-Tested,0.466666667,0,40,70,90,100,100,100,0.34,0.17,0.65,1,1,0.46
3,129,5,TE,Always-Tested,0.466666667,2,80,100,100,100,100,100,0.25,0.5,0.56,0.38,0.04,0.61
3,131,1,TE,Always-Tested,0.2,1,70,70,90,100,100,100,-0.5,1,0.4,-1,1,0
3,132,2,TE,Always-Tested,0.4,0,60,90,37,30,80,99,0.18,0.64,0.15,1,1,-0.5
3,133,3,TE,Always-Tested,0.333333333,1,45,90,100,100,50,90,0.31,0.65,-0.11,-0.32,0.63,1
3,134,4,TE,Always-Tested,0.466666667,0,80,80,80,90,90,90,0.34,0.63,0.12,0.25,0.71,1
3,135,5,TE,Always-Tested,0.4,1,62,88,100,100,100,95,-0.5,1,-1,-1,0.31,0.25
3,136,6,TE,Always-Tested,1,0,78,60,90,100,100,100,-0.11,-0.5,0.47,1,0.37,0.88
3,137,1,TE,Always-Tested,0.666666667,0,70,80,55,50,30,20,0.27,0.16,0.58,0.03,0.42,-0.38
3,138,2,TE,Always-Tested,0.933333333,0,50,25,50,60,70,50,0.63,0.58,1,0.61,0.13,0.3
3,139,3,TE,Always-Tested,0.8,1,80,90,99,100,100,100,0.78,-0.05,0.17,0.56,0.65,0.45
3,140,4,TE,Always-Tested,0.8,0,50,0,25,0,0,50,0.27,0.44,-0.13,0.34,1,0.44
3,141,5,TE,Always-Tested,1,0,80,80,90,100,100,100,0.02,0.3,0.5,0.37,0.5,0.25
3,142,6,TE,Always-Tested,0.733333333,0,50,50,75,75,90,100,-0.11,-0.25,-0.11,-0.1,0.68,0.34
3,143,1,TE,Always-Tested,0.533333333,1,75,56,87,98,99,100,-0.1,0.25,0.12,1,0.3,0.11
3,145,3,TE,Always-Tested,0.6,1,60,95,100,100,100,100,0.53,-0.5,0.81,0.47,0.37,0.68
3,146,4,TE,Always-Tested,0.466666667,0,50,60,80,90,100,100,0.64,0.04,-0.04,0.27,1,1
3,147,5,TE,Always-Tested,0.733333333,0,67,50,50,30,40,80,0.21,0.72,0.52,0.75,0.72,-0.1
3,148,6,TE,Always-Tested,0.466666667,0,100,100,100,100,100,100,-0.38,0.36,0.78,1,0.81,0.3
3,150,2,TE,Always-Tested,0.266666667,1,90,90,90,100,100,90,0.07,-0.32,-0.08,0.45,0,0
3,151,3,TE,Always-Tested,0.666666667,1,50,45,25,85,90,95,0.73,-0.4,0.47,0.64,-0.67,-0.09
3,153,5,TE,Always-Tested,0.8,3,65,60,30,20,5,85,0.34,-0.11,0.63,0.16,0.72,0.12
3,155,1,TE,Always-Tested,0.866666667,0,75,25,99,99,100,97,0.47,0.58,0.21,0.45,1,0.52
3,156,1,TE,Always-Tested,0.866666667,0,50,50,50,50,50,50,0.52,0.84,0.75,0.84,0.68,0.68
3,158,5,TE,Always-Tested,0.666666667,0,80,80,80,80,80,80,-0.13,0.15,0.06,0.68,1,0.44
3,159,6,TE,Always-Tested,0.8,0,60,50,45,75,80,95,0.58,0.3,0.44,0.52,0.72,0.81
3,358,3,TE,Always-Tested,0.533333333,0,50,100,100,100,100,100,0.58,1,0.55,0.47,0.3,1
3,359,4,TE,Always-Tested,0.333333333,1,65,65,65,5,50,50,0.56,0.17,0.07,1,1,1
3,160,6,TE,Always-Tested,0.933333333,0,80,70,100,86,100,100,0.23,0.16,0.38,0,-0.13,0.02
3,302,2,TE,Early-Tested,0.6,0,75,45,90,99,75,45,0.86,1,0.55,,,1
3,304,4,TE,Early-Tested,0.333333333,1,50,70,90,95,95,50,-0.45,-0.04,-0.05,,,1
3,306,6,TE,Early-Tested,0.266666667,1,60,50,40,60,70,70,0.78,0.64,0.81,,,1
3,307,1,TE,Early-Tested,0.666666667,0,100,50,50,30,90,50,0.82,1,0.81,,,0.77
3,308,2,TE,Early-Tested,0.4,0,80,90,100,100,80,80,0.27,1,0,,,1
3,311,5,TE,Early-Tested,0.8,1,90,85,85,90,95,90,0.02,0.13,0.25,,,0.34
3,314,2,TE,Early-Tested,0.333333333,0,70,80,85,90,70,65,-0.05,0,0.27,,,1
3,316,4,TE,Early-Tested,0.2,0,75,25,20,50,40,20,0.64,0.44,0.5,,,0
