"","date","country","activity","year","flu_activity_mean"
"111","2003-01-19","Spain",0,"2003",20.8269230769231
"112","2003-01-19","Sweden",0,"2003",0
"113","2003-01-19","Switzerland",0,"2003",23.5
"114","2003-01-19","Ukraine",0,"2003",0
"115","2003-01-19","United.States",0,"2003",831.365384615385
"116","2003-01-19","Uruguay",0,"2003",123.942307692308
"117","2003-01-26","Argentina",0,"2003",179.846153846154
"118","2003-01-26","Australia",0,"2003",0
"119","2003-01-26","Austria",0,"2003",195.730769230769
"120","2003-01-26","Belgium",0,"2003",68.9038461538462
"121","2003-01-26","Bolivia",0,"2003",433.903846153846
"122","2003-01-26","Brazil",131,"2003",238.192307692308
"123","2003-01-26","Bulgaria",0,"2003",0
"124","2003-01-26","Canada",0,"2003",899.692307692308
"125","2003-01-26","Chile",0,"2003",1.65384615384615
"126","2003-01-26","France",0,"2003",84.4230769230769
"127","2003-01-26","Germany",0,"2003",298.211538461538
"128","2003-01-26","Hungary",0,"2003",0
"129","2003-01-26","Japan",0,"2003",8.80769230769231
"130","2003-01-26","Mexico",0,"2003",254.480769230769
"131","2003-01-26","Netherlands",0,"2003",15.1153846153846
"132","2003-01-26","New.Zealand",0,"2003",0
"133","2003-01-26","Norway",0,"2003",0
"134","2003-01-26","Paraguay",0,"2003",0
"135","2003-01-26","Peru",241,"2003",393.096153846154
"136","2003-01-26","Poland",0,"2003",0
"137","2003-01-26","Romania",0,"2003",630.173076923077
"138","2003-01-26","Russia",0,"2003",0
"139","2003-01-26","South.Africa",0,"2003",0
"140","2003-01-26","Spain",0,"2003",20.8269230769231
"141","2003-01-26","Sweden",0,"2003",0
"142","2003-01-26","Switzerland",0,"2003",23.5
"143","2003-01-26","Ukraine",0,"2003",0
"144","2003-01-26","United.States",0,"2003",831.365384615385
"145","2003-01-26","Uruguay",0,"2003",123.942307692308
"146","2003-02-02","Argentina",136,"2003",179.846153846154
"147","2003-02-02","Australia",0,"2003",0
"148","2003-02-02","Austria",0,"2003",195.730769230769
"149","2003-02-02","Belgium",0,"2003",68.9038461538462
"150","2003-02-02","Bolivia",0,"2003",433.903846153846
"151","2003-02-02","Brazil",151,"2003",238.192307692308
"152","2003-02-02","Bulgaria",0,"2003",0
"153","2003-02-02","Canada",0,"2003",899.692307692308
"154","2003-02-02","Chile",0,"2003",1.65384615384615
"155","2003-02-02","France",0,"2003",84.4230769230769
"156","2003-02-02","Germany",0,"2003",298.211538461538
"157","2003-02-02","Hungary",0,"2003",0
"158","2003-02-02","Japan",0,"2003",8.80769230769231
"159","2003-02-02","Mexico",0,"2003",254.480769230769
"160","2003-02-02","Netherlands",0,"2003",15.1153846153846
"161","2003-02-02","New.Zealand",0,"2003",0
"162","2003-02-02","Norway",0,"2003",0
"163","2003-02-02","Paraguay",0,"2003",0
"164","2003-02-02","Peru",227,"2003",393.096153846154
"165","2003-02-02","Poland",0,"2003",0
"166","2003-02-02","Romania",0,"2003",630.173076923077
"167","2003-02-02","Russia",0,"2003",0
"168","2003-02-02","South.Africa",0,"2003",0
"169","2003-02-02","Spain",0,"2003",20.8269230769231
"170","2003-02-02","Sweden",0,"2003",0
"171","2003-02-02","Switzerland",0,"2003",23.5
"172","2003-02-02","Ukraine",0,"2003",0
"173","2003-02-02","United.States",0,"2003",831.365384615385
"174","2003-02-02","Uruguay",0,"2003",123.942307692308
"175","2003-02-09","Argentina",145,"2003",179.846153846154
"176","2003-02-09","Australia",0,"2003",0
"177","2003-02-09","Austria",0,"2003",195.730769230769
"178","2003-02-09","Belgium",0,"2003",68.9038461538462
"179","2003-02-09","Bolivia",0,"2003",433.903846153846
"180","2003-02-09","Brazil",184,"2003",238.192307692308
"181","2003-02-09","Bulgaria",0,"2003",0
"182","2003-02-09","Canada",0,"2003",899.692307692308
"183","2003-02-09","Chile",0,"2003",1.65384615384615
"184","2003-02-09","France",0,"2003",84.4230769230769
"185","2003-02-09","Germany",0,"2003",298.211538461538
"186","2003-02-09","Hungary",0,"2003",0
"187","2003-02-09","Japan",0,"2003",8.80769230769231
"188","2003-02-09","Mexico",0,"2003",254.480769230769
"189","2003-02-09","Netherlands",0,"2003",15.1153846153846
"190","2003-02-09","New.Zealand",0,"2003",0
"191","2003-02-09","Norway",0,"2003",0
"192","2003-02-09","Paraguay",0,"2003",0
"193","2003-02-09","Peru",250,"2003",393.096153846154
"194","2003-02-09","Poland",0,"2003",0
"195","2003-02-09","Romania",664,"2003",630.173076923077
"196","2003-02-09","Russia",0,"2003",0
"197","2003-02-09","South.Africa",0,"2003",0
"198","2003-02-09","Spain",0,"2003",20.8269230769231
"199","2003-02-09","Sweden",0,"2003",0
"200","2003-02-09","Switzerland",0,"2003",23.5
"201","2003-02-09","Ukraine",0,"2003",0
"202","2003-02-09","United.States",0,"2003",831.365384615385
"203","2003-02-09","Uruguay",0,"2003",123.942307692308
"204","2003-02-16","Argentina",141,"2003",179.846153846154
"205","2003-02-16","Australia",0,"2003",0
"206","2003-02-16","Austria",0,"2003",195.730769230769
"207","2003-02-16","Belgium",0,"2003",68.9038461538462
"208","2003-02-16","Bolivia",0,"2003",433.903846153846
"209","2003-02-16","Brazil",162,"2003",238.192307692308
"210","2003-02-16","Bulgaria",0,"2003",0
"211","2003-02-16","Canada",0,"2003",899.692307692308
"212","2003-02-16","Chile",0,"2003",1.65384615384615
"213","2003-02-16","France",0,"2003",84.4230769230769
"214","2003-02-16","Germany",0,"2003",298.211538461538
"215","2003-02-16","Hungary",0,"2003",0
"216","2003-02-16","Japan",0,"2003",8.80769230769231
"217","2003-02-16","Mexico",0,"2003",254.480769230769
"218","2003-02-16","Netherlands",0,"2003",15.1153846153846
"219","2003-02-16","New.Zealand",0,"2003",0
"220","2003-02-16","Norway",0,"2003",0
"221","2003-02-16","Paraguay",0,"2003",0
"222","2003-02-16","Peru",236,"2003",393.096153846154
"223","2003-02-16","Poland",0,"2003",0
"224","2003-02-16","Romania",736,"2003",630.173076923077
"225","2003-02-16","Russia",0,"2003",0
"226","2003-02-16","South.Africa",0,"2003",0
"227","2003-02-16","Spain",0,"2003",20.8269230769231
