"","date","country","activity","year","dengue_tidy_mean"
"95","2003-03-02","Indonesia",0.048,"2003",0.0605192307692308
"96","2003-03-02","Mexico",0.075,"2003",0.0848846153846154
"97","2003-03-02","Philippines",0,"2003",0.0685
"98","2003-03-02","Singapore",0.129,"2003",0.131807692307692
"99","2003-03-02","Thailand",0,"2003",0
"100","2003-03-02","Venezuela",0.168,"2003",0.172442307692308
"101","2003-03-09","Argentina",0.051,"2003",0.0268653846153846
"102","2003-03-09","Bolivia",0.195,"2003",0.0758653846153846
"103","2003-03-09","Brazil",0.28,"2003",0.0835384615384615
"104","2003-03-09","India",0.003,"2003",0.170307692307692
"105","2003-03-09","Indonesia",0.089,"2003",0.0605192307692308
"106","2003-03-09","Mexico",0.096,"2003",0.0848846153846154
"107","2003-03-09","Philippines",0,"2003",0.0685
"108","2003-03-09","Singapore",0.13,"2003",0.131807692307692
"109","2003-03-09","Thailand",0,"2003",0
"110","2003-03-09","Venezuela",0.169,"2003",0.172442307692308
"111","2003-03-16","Argentina",0.046,"2003",0.0268653846153846
"112","2003-03-16","Bolivia",0.289,"2003",0.0758653846153846
"113","2003-03-16","Brazil",0.162,"2003",0.0835384615384615
"114","2003-03-16","India",0.006,"2003",0.170307692307692
"115","2003-03-16","Indonesia",0.08,"2003",0.0605192307692308
"116","2003-03-16","Mexico",0.064,"2003",0.0848846153846154
"117","2003-03-16","Philippines",0,"2003",0.0685
"118","2003-03-16","Singapore",0.12,"2003",0.131807692307692
"119","2003-03-16","Thailand",0,"2003",0
"120","2003-03-16","Venezuela",0.157,"2003",0.172442307692308
"121","2003-03-23","Argentina",0.043,"2003",0.0268653846153846
"122","2003-03-23","Bolivia",0.227,"2003",0.0758653846153846
"123","2003-03-23","Brazil",0.17,"2003",0.0835384615384615
"124","2003-03-23","India",0.015,"2003",0.170307692307692
"125","2003-03-23","Indonesia",0.054,"2003",0.0605192307692308
"126","2003-03-23","Mexico",0.073,"2003",0.0848846153846154
"127","2003-03-23","Philippines",0,"2003",0.0685
"128","2003-03-23","Singapore",0.115,"2003",0.131807692307692
"129","2003-03-23","Thailand",0,"2003",0
"130","2003-03-23","Venezuela",0.154,"2003",0.172442307692308
"131","2003-03-30","Argentina",0.039,"2003",0.0268653846153846
"132","2003-03-30","Bolivia",0.194,"2003",0.0758653846153846
"133","2003-03-30","Brazil",0.176,"2003",0.0835384615384615
"134","2003-03-30","India",0.033,"2003",0.170307692307692
"135","2003-03-30","Indonesia",0.071,"2003",0.0605192307692308
"136","2003-03-30","Mexico",0.076,"2003",0.0848846153846154
"137","2003-03-30","Philippines",0.059,"2003",0.0685
"138","2003-03-30","Singapore",0.104,"2003",0.131807692307692
"139","2003-03-30","Thailand",0,"2003",0
"140","2003-03-30","Venezuela",0.138,"2003",0.172442307692308
"141","2003-04-06","Argentina",0.036,"2003",0.0268653846153846
"142","2003-04-06","Bolivia",0.121,"2003",0.0758653846153846
"143","2003-04-06","Brazil",0.134,"2003",0.0835384615384615
"144","2003-04-06","India",0.008,"2003",0.170307692307692
"145","2003-04-06","Indonesia",0.054,"2003",0.0605192307692308
"146","2003-04-06","Mexico",0.068,"2003",0.0848846153846154
"147","2003-04-06","Philippines",0.059,"2003",0.0685
"148","2003-04-06","Singapore",0.107,"2003",0.131807692307692
"149","2003-04-06","Thailand",0,"2003",0
"150","2003-04-06","Venezuela",0.136,"2003",0.172442307692308
"151","2003-04-13","Argentina",0.031,"2003",0.0268653846153846
"152","2003-04-13","Bolivia",0.101,"2003",0.0758653846153846
"153","2003-04-13","Brazil",0.15,"2003",0.0835384615384615
"154","2003-04-13","India",0.012,"2003",0.170307692307692
"155","2003-04-13","Indonesia",0.088,"2003",0.0605192307692308
"156","2003-04-13","Mexico",0.055,"2003",0.0848846153846154
"157","2003-04-13","Philippines",0.058,"2003",0.0685
"158","2003-04-13","Singapore",0.101,"2003",0.131807692307692
"159","2003-04-13","Thailand",0,"2003",0
"160","2003-04-13","Venezuela",0.129,"2003",0.172442307692308
"161","2003-04-20","Argentina",0.029,"2003",0.0268653846153846
"162","2003-04-20","Bolivia",0.147,"2003",0.0758653846153846
"163","2003-04-20","Brazil",0.104,"2003",0.0835384615384615
"164","2003-04-20","India",0.03,"2003",0.170307692307692
"165","2003-04-20","Indonesia",0.054,"2003",0.0605192307692308
"166","2003-04-20","Mexico",0.056,"2003",0.0848846153846154
"167","2003-04-20","Philippines",0.058,"2003",0.0685
"168","2003-04-20","Singapore",0.102,"2003",0.131807692307692
"169","2003-04-20","Thailand",0,"2003",0
"170","2003-04-20","Venezuela",0.168,"2003",0.172442307692308
"171","2003-04-27","Argentina",0.034,"2003",0.0268653846153846
"172","2003-04-27","Bolivia",0.097,"2003",0.0758653846153846
"173","2003-04-27","Brazil",0.104,"2003",0.0835384615384615
"174","2003-04-27","India",0.004,"2003",0.170307692307692
"175","2003-04-27","Indonesia",0.081,"2003",0.0605192307692308
"176","2003-04-27","Mexico",0.072,"2003",0.0848846153846154
"177","2003-04-27","Philippines",0.061,"2003",0.0685
"178","2003-04-27","Singapore",0.128,"2003",0.131807692307692
"179","2003-04-27","Thailand",0,"2003",0
"180","2003-04-27","Venezuela",0.263,"2003",0.172442307692308
"181","2003-05-04","Argentina",0.031,"2003",0.0268653846153846
"182","2003-05-04","Bolivia",0.069,"2003",0.0758653846153846
"183","2003-05-04","Brazil",0.089,"2003",0.0835384615384615
"184","2003-05-04","India",0.007,"2003",0.170307692307692
"185","2003-05-04","Indonesia",0.068,"2003",0.0605192307692308
"186","2003-05-04","Mexico",0.071,"2003",0.0848846153846154
"187","2003-05-04","Philippines",0.059,"2003",0.0685
"188","2003-05-04","Singapore",0.132,"2003",0.131807692307692
"189","2003-05-04","Thailand",0,"2003",0
"190","2003-05-04","Venezuela",0.222,"2003",0.172442307692308
"191","2003-05-11","Argentina",0.039,"2003",0.0268653846153846
"192","2003-05-11","Bolivia",0.064,"2003",0.0758653846153846
"193","2003-05-11","Brazil",0.067,"2003",0.0835384615384615
"194","2003-05-11","India",0,"2003",0.170307692307692
"195","2003-05-11","Indonesia",0.048,"2003",0.0605192307692308
"196","2003-05-11","Mexico",0.06,"2003",0.0848846153846154
"197","2003-05-11","Philippines",0.059,"2003",0.0685
