Subject,Session,Test_Exp,Test_Cdn,RCL-L1_P,RCL-L2_P,RCL-L3_P,RCL-L4_P,RCL-L5_P,RCL-L6_P,INT1_6,INT2_6,INT3_6,INT4_6,INT5_6,Int_list2,Int_list3,Int_list4,Int_list5,INT_list6,TEST_EXP1,TEST_EXP2,TEST_EXP3,TEST_EXP4,TEST_EXP5,TEST_EXP6,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
628,4,NTE,Early-Tested,0.530,0.530,0.470,,,0.000,0,0,0,1,3,0,0,,,4,,,,,,,0.11,-0.45,1,,,.
629,5,NTE,Early-Tested,0.530,0.930,0.930,,,0.730,0,0,1,0,1,0,0,,,2,,,,,,,0,0.44,0.72,,,0.15
630,6,NTE,Early-Tested,0.800,0.870,0.930,,,0.930,0,0,0,0,0,0,1,,,0,,,,,,,0.27,0.84,1,,,0.58
631,1,NTE,Early-Tested,0.670,0.800,0.470,,,0.200,0,0,0,0,0,0,0,,,0,,,,,,,-0.19,0.09,0.46,,,-2
632,2,NTE,Early-Tested,0.600,0.730,0.330,,,0.200,0,0,0,0,1,0,0,,,1,,,,,,,0,0.23,1,,,-2
633,3,NTE,Early-Tested,0.800,0.800,0.930,,,1.000,0,1,0,0,0,0,0,,,1,,,,,,,0.09,0.81,1,,,0.75
634,4,NTE,Early-Tested,0.730,0.600,0.600,,,0.470,0,0,0,0,0,0,0,,,0,,,,,,,0.42,0.63,0.04,,,0.13
635,5,NTE,Early-Tested,0.530,0.600,0.670,,,0.870,0,0,0,0,0,0,0,,,0,,,,,,,0.11,0.36,1,,,0.68
636,6,NTE,Early-Tested,0.600,0.600,0.530,,,0.870,1,0,0,0,0,0,2,,,1,,,,,,,-0.04,0.25,0.11,,,0.52
637,1,NTE,Early-Tested,0.400,0.600,0.330,,,0.200,0,0,0,0,0,0,3,,,0,,,,,,,0.25,0.71,0.17,,,1
638,1,NTE,Early-Tested,0.870,0.600,0.670,,,0.530,0,0,0,0,1,0,0,,,1,,,,,,,0.68,0.45,0.44,,,0.56
639,2,NTE,Early-Tested,0.600,0.730,0.670,,,0.270,0,0,1,0,2,0,0,,,3,,,,,,,0.31,-0.1,0.21,,,.
640,3,NTE,Early-Tested,0.470,0.270,0.130,,,0.270,0,1,0,0,0,0,0,,,1,,,,,,,-0.62,1,.,,,.
641,4,NTE,Early-Tested,0.800,0.600,0.870,,,1.000,0,0,0,0,0,0,0,,,0,,,,,,,0.27,1,0.52,,,0.72
642,5,NTE,Early-Tested,0.600,0.470,0.600,,,0.070,1,0,2,4,0,0,0,,,7,,,,,,,0.31,0.46,0.65,,,.
643,6,NTE,Early-Tested,0.530,0.800,0.530,,,0.600,0,0,0,1,0,0,0,,,1,,,,,,,0.5,0.63,1,,,1
644,1,NTE,Early-Tested,0.870,0.670,0.930,,,0.670,0,0,0,0,0,0,1,,,0,,,,,,,0.52,0.72,0.72,,,1
645,2,NTE,Early-Tested,0.930,1.000,1.000,,,0.730,0,0,0,0,0,0,0,,,0,,,,,,,0.02,0,-0.25,,,-0.32
646,3,NTE,Early-Tested,0.600,0.470,0.530,,,0.270,0,0,0,0,0,0,1,,,0,,,,,,,-0.38,1,0,,,1
647,4,NTE,Early-Tested,0.600,0.800,0.600,,,0.600,0,0,0,1,2,1,1,,,3,,,,,,,0.65,0.25,-0.29,,,1
648,5,NTE,Early-Tested,0.600,0.130,0.600,,,0.530,0,0,1,0,0,1,1,,,1,,,,,,,0.36,1,0.65,,,-0.4
649,6,NTE,Early-Tested,0.530,0.530,0.130,,,0.070,0,0,0,0,0,0,0,,,0,,,,,,,-0.33,0.64,.,,,.
650,1,NTE,Early-Tested,0.530,0.530,0.530,,,0.070,2,0,1,3,0,0,1,,,6,,,,,,,0.07,0.27,-0.17,,,.
651,2,NTE,Early-Tested,0.530,0.670,0.730,,,0.330,0,0,0,0,1,0,0,,,1,,,,,,,0,-0.32,0.12,,,1
652,3,NTE,Early-Tested,0.530,0.670,0.530,,,0.070,0,1,1,0,2,0,0,,,4,,,,,,,-0.5,0.17,1,,,.
653,4,NTE,Early-Tested,0.600,0.800,0.870,,,0.600,0,0,0,1,1,0,0,,,2,,,,,,,0.73,0.45,0.68,,,1
655,6,NTE,Early-Tested,0.800,0.530,0.670,,,0.530,0,0,0,0,0,0,1,,,0,,,,,,,0.64,0.11,0.74,,,0.69
656,1,NTE,Early-Tested,0.600,0.800,0.870,,,0.670,0,0,0,1,0,0,1,,,1,,,,,,,0.42,1,0.68,,,0.74
660,5,NTE,Early-Tested,0.470,0.400,0.400,,,0.270,0,0,0,0,0,0,0,,,0,,,,,,,0.07,1,1,,,1
661,6,NTE,Early-Tested,0.400,0.730,0.670,,,0.470,0,0,2,0,3,0,1,,,5,,,,,,,-0.5,0.15,0.72,,,0.53
664,3,NTE,Early-Tested,0.530,0.670,0.870,,,0.270,0,0,0,0,0,0,0,,,0,,,,,,,1,1,0.21,,,.
666,5,NTE,Early-Tested,0.800,0.600,0.870,,,0.730,0,0,0,0,0,1,0,,,0,,,,,,,0.34,-0.04,0.82,,,0.78
667,6,NTE,Early-Tested,0.530,0.530,0.330,,,0.270,0,0,0,0,2,0,0,,,2,,,,,,,0.27,0.3,1,,,.
668,1,NTE,Early-Tested,0.600,0.400,0.470,,,0.670,0,0,0,0,0,0,0,,,0,,,,,,,0.31,0.25,0.3,,,0
669,2,NTE,Early-Tested,0.730,0.870,0.670,,,0.200,0,0,0,0,0,0,0,,,0,,,,,,,0.56,0.21,-0.32,,,.
670,3,NTE,Early-Tested,0.670,0.730,0.600,,,0.200,0,0,0,0,0,0,0,,,0,,,,,,,-0.05,0.04,0.36,,,1
671,4,NTE,Early-Tested,0.870,1.000,0.870,,,0.800,0,0,0,0,1,0,0,,,1,,,,,,,0.84,0.88,0.84,,,0.25
673,6,NTE,Early-Tested,0.870,0.400,0.530,,,0.400,0,0,0,0,0,0,1,,,0,,,,,,,0.84,1,0.53,,,0.25
674,1,NTE,Early-Tested,0.730,0.730,0.670,,,0.130,0,1,0,0,1,2,1,,,2,,,,,,,0.58,1,1,,,1
675,2,NTE,Early-Tested,0.470,0.530,0.470,,,0.070,0,1,3,0,1,0,0,,,5,,,,,,,-0.17,0.64,-0.08,,,.
676,3,NTE,Early-Tested,0.670,0.930,1.000,,,0.800,0,1,0,0,0,0,0,,,1,,,,,,,0.21,0.72,1,,,1
677,4,NTE,Early-Tested,0.530,0.400,0.800,,,0.670,0,0,0,0,1,1,0,,,1,,,,,,,1,0.25,-0.09,,,0.47
700,1,NTE,Late-Tested,,,0.400,0.670,0.730,0.800,0,0,0,0,0,,0,0,0,0,,,,,,,,,0.4,0.47,0.56,0.44
701,2,NTE,Late-Tested,,,0.600,0.730,0.800,1.000,0,0,0,0,0,,0,4,0,0,,,,,,,,,0.63,0.34,0.27,0.25
702,3,NTE,Late-Tested,,,0.330,0.730,0.730,0.870,0,1,0,0,0,,1,0,0,1,,,,,,,,,1,0.56,0.56,1
703,4,NTE,Late-Tested,,,0.800,0.870,0.800,0.800,0,0,0,0,0,,0,0,2,0,,,,,,,,,0.63,0.52,0.63,0.63
704,5,NTE,Late-Tested,,,1.000,1.000,0.870,0.870,0,0,0,0,0,,0,0,1,0,,,,,,,,,0.75,0.38,1,0.52
705,6,NTE,Late-Tested,,,0.470,0.530,0.330,0.530,0,0,0,0,0,,0,1,0,0,,,,,,,,,0.3,0.5,1,-0.2
706,1,NTE,Late-Tested,,,0.600,0.670,0.330,0.600,0,0,0,0,0,,1,0,0,0,,,,,,,,,0.42,0.47,1,1
707,2,NTE,Late-Tested,,,0.270,0.330,0.400,0.400,0,0,0,0,1,,2,1,0,1,,,,,,,,,-1,1,-0.5,1
708,3,NTE,Late-Tested,,,0.400,0.130,0.400,0.470,0,1,0,0,0,,0,0,0,1,,,,,,,,,1,.,0,0.07
709,4,NTE,Late-Tested,,,0.330,0.330,0.330,0.400,0,0,0,1,1,,1,1,3,2,,,,,,,,,-0.67,1,1,1
710,5,NTE,Late-Tested,,,0.800,0.470,0.400,0.530,0,0,0,1,0,,0,0,0,1,,,,,,,,,0.81,-0.4,1,0.11
711,6,NTE,Late-Tested,,,0.270,0.330,0.400,0.530,0,0,0,0,0,,1,0,0,0,,,,,,,,,.,1,1,-0.33
712,1,NTE,Late-Tested,,,0.400,0.200,0.600,0.530,0,0,0,0,0,,0,2,0,0,,,,,,,,,0.25,.,0.04,1
713,2,NTE,Late-Tested,,,0.600,0.730,0.870,0.800,0,0,0,0,0,,0,1,0,0,,,,,,,,,0.04,-0.06,1,0.81
715,4,NTE,Late-Tested,,,0.470,0.470,0.730,0.470,0,0,0,0,0,,0,1,0,0,,,,,,,,,0.3,0.07,0.37,-0.17
716,5,NTE,Late-Tested,,,0.470,0.530,0.470,0.130,0,0,0,0,0,,1,0,1,0,,,,,,,,,0.46,0.56,0.07,.
717,6,NTE,Late-Tested,,,0.530,0.530,0.670,0.800,0,0,0,0,0,,1,1,0,0,,,,,,,,,-0.08,0.5,0.77,0.44
718,1,NTE,Late-Tested,,,0.470,0.470,0.530,0.800,0,0,0,0,2,,0,0,0,2,,,,,,,,,0.53,1,0.11,0.09
719,2,NTE,Late-Tested,,,0.800,0.670,0.930,0.870,0,0,0,0,0,,0,1,1,0,,,,,,,,,0.27,0.47,0.16,0.21
720,3,NTE,Late-Tested,,,0.270,0.730,0.400,0.730,0,1,0,0,0,,1,0,0,1,,,,,,,,,-1,0.12,-0.5,0.37
721,4,NTE,Late-Tested,,,0.130,0.200,0.270,0.270,0,0,0,0,0,,1,1,0,0,,,,,,,,,.,1,1,1
722,5,NTE,Late-Tested,,,0.200,0.470,0.470,0.870,0,0,0,0,0,,4,1,2,0,,,,,,,,,-2,-0.08,0.46,0.21
723,6,NTE,Late-Tested,,,0.400,0.330,0.800,0.600,0,0,0,0,1,,2,1,0,1,,,,,,,,,1,.,0.5,-0.04
724,1,NTE,Late-Tested,,,0.670,0.930,1.000,0.930,0,0,0,0,0,,1,0,0,0,,,,,,,,,0.25,0.86,1,0.72
725,2,NTE,Late-Tested,,,0.330,0.670,0.670,0.400,0,0,0,0,0,,0,1,0,0,,,,,,,,,-0.67,0.74,0.32,1
726,3,NTE,Late-Tested,,,0.600,0.800,0.530,0.730,0,1,0,0,0,,0,0,0,1,,,,,,,,,-0.04,0.25,-0.33,0.61
727,4,NTE,Late-Tested,,,0.470,0.600,0.730,0.730,0,0,0,1,2,,0,2,2,3,,,,,,,,,-0.08,0.5,0.54,0.56
728,5,NTE,Late-Tested,,,0.270,0.600,0.730,0.730,0,0,0,1,0,,2,0,0,1,,,,,,,,,.,0.68,0.44,-0.1
729,6,NTE,Late-Tested,,,0.330,0.200,0.800,0.670,0,0,0,0,1,,1,0,1,1,,,,,,,,,-0.25,1,0.06,-0.05
730,1,NTE,Late-Tested,,,0.070,0.130,0.470,0.670,1,0,0,0,0,,3,1,3,1,,,,,,,,,.,.,0.53,-0.05
731,2,NTE,Late-Tested,,,1.000,0.930,1.000,0.870,0,0,0,0,1,,0,1,0,1,,,,,,,,,0.25,0.3,0.63,0.68
732,3,NTE,Late-Tested,,,0.400,0.400,0.200,0.470,0,0,0,1,0,,0,1,2,1,,,,,,,,,-0.2,-0.5,.,0.07
733,4,NTE,Late-Tested,,,0.270,0.530,0.800,0.800,0,0,0,0,0,,0,1,1,0,,,,,,,,,1,0,0.78,0.64
734,5,NTE,Late-Tested,,,0.870,1.000,0.870,0.870,0,0,0,0,0,,0,0,0,0,,,,,,,,,0.52,0.25,0.37,0.84
735,6,NTE,Late-Tested,,,0.400,0.070,0.400,0.470,0,1,0,0,0,,0,0,0,1,,,,,,,,,1,.,-0.5,0.53
736,1,NTE,Late-Tested,,,0.400,0.670,0.330,0.400,0,0,0,0,0,,0,0,0,0,,,,,,,,,1,-0.05,0.17,-0.2
737,2,NTE,Late-Tested,,,0.130,0.470,0.200,0.330,0,0,0,0,0,,2,0,0,0,,,,,,,,,1,0.07,.,0.17
738,3,NTE,Late-Tested,,,0.330,0.470,0.400,0.270,0,0,0,0,1,,1,0,1,1,,,,,,,,,1,-0.5,-0.5,1
739,4,NTE,Late-Tested,,,0.200,0.400,0.800,0.600,0,0,0,0,0,,1,0,1,0,,,,,,,,,-2,0.4,0.06,0.42
740,5,NTE,Late-Tested,,,0.530,0.070,0.530,0.470,0,0,0,0,0,,0,0,0,0,,,,,,,,,1,.,0.5,1
741,6,NTE,Late-Tested,,,0.730,0.330,0.930,0.470,0,0,0,1,0,,1,1,0,1,,,,,,,,,0.37,0.17,0.58,0.22
742,1,NTE,Late-Tested,,,0.400,0.400,0.470,0.400,0,0,0,0,0,,0,0,0,0,,,,,,,,,-0.5,0,1,-0.5
743,2,NTE,Late-Tested,,,0.470,0.800,0.670,0.670,0,0,0,0,0,,5,1,0,0,,,,,,,,,0.07,0.82,0.55,0.47
744,3,NTE,Late-Tested,,,0.000,0.130,0.530,0.330,1,1,0,0,1,,3,1,0,3,,,,,,,,,.,1,0.56,1
745,4,NTE,Late-Tested,,,0.200,0.200,0.930,0.870,0,0,0,0,0,,8,2,1,0,,,,,,,,,.,1,0.86,0.52
746,5,NTE,Late-Tested,,,0.000,0.400,0.130,0.200,0,0,0,0,0,,4,0,0,0,,,,,,,,,.,-0.8,.,-2
747,6,NTE,Late-Tested,,,0.400,0.400,0.270,0.600,0,0,0,0,0,,0,0,0,0,,,,,,,,,1,0.4,0,0.04
748,1,NTE,Late-Tested,,,0.730,1.000,0.930,0.470,0,0,0,0,0,,0,0,0,0,,,,,,,,,0.12,0.13,0.16,0.07
749,2,NTE,Late-Tested,,,0.470,0.670,0.600,0.600,0,0,0,0,0,,1,0,1,0,,,,,,,,,-0.75,0.74,0.31,1
750,3,NTE,Late-Tested,,,0.470,0.530,0.600,0.600,0,2,0,0,0,,2,0,1,2,,,,,,,,,1,0.64,0.31,0.13
751,4,NTE,Late-Tested,,,0.270,0.130,0.400,0.530,0,0,0,1,2,,1,2,1,3,,,,,,,,,-1,.,1,0.11
752,5,NTE,Late-Tested,,,0.530,0.730,0.470,0.400,0,0,0,0,0,,1,1,2,0,,,,,,,,,0.56,0.78,1,0.25
753,6,NTE,Late-Tested,,,0.200,0.200,0.530,0.470,0,0,0,0,1,,0,0,0,1,,,,,,,,,.,-2,0.2,-0.08
754,1,NTE,Late-Tested,,,0.530,0.330,0.330,0.470,0,0,0,0,0,,0,0,0,0,,,,,,,,,0,.,1,0.07
755,2,NTE,Late-Tested,,,0.400,0.930,0.800,0.800,0,0,0,0,0,,0,1,0,0,,,,,,,,,-0.5,0.3,1,0.81
757,4,NTE,Late-Tested,,,0.470,0.400,0.730,0.530,0,0,0,0,0,,2,1,1,0,,,,,,,,,0.13,1,1,0.27
758,5,NTE,Late-Tested,,,0.400,0.330,0.270,0.470,0,0,0,0,0,,1,0,0,0,,,,,,,,,1,0.17,1,-0.75
759,6,NTE,Late-Tested,,,0.400,0.530,0.530,0.670,0,0,0,0,0,,1,0,0,0,,,,,,,,,0,0.64,0.11,1
760,1,NTE,Late-Tested,,,0.670,1.000,0.870,0.870,0,0,0,0,1,,0,0,0,1,,,,,,,,,0.32,0.25,0.84,0.68
761,2,NTE,Late-Tested,,,0.130,0.400,0.270,0.400,0,0,0,0,0,,0,1,1,0,,,,,,,,,.,0.5,-1,0
762,3,NTE,Late-Tested,,,0.870,1.000,0.930,0.800,0,1,0,0,0,,0,0,0,1,,,,,,,,,0.37,0.13,0.3,-0.09
763,4,NTE,Late-Tested,,,0.470,0.470,0.800,0.730,0,0,0,0,0,,0,0,1,0,,,,,,,,,0.3,0.13,0.45,0.61
764,5,NTE,Late-Tested,,,0.270,0.330,0.400,0.200,0,0,0,0,0,,1,0,1,0,,,,,,,,,-1,-0.67,-0.67,-2
766,1,NTE,Late-Tested,,,0.600,0.670,0.670,0.400,0,0,0,0,0,,0,0,0,0,,,,,,,,,0.45,0.04,0.5,1
767,2,NTE,Late-Tested,,,0.800,0.530,0.870,0.870,0,0,0,0,0,,4,1,0,0,,,,,,,,,0.63,0.11,-0.37,0.21
768,3,NTE,Late-Tested,,,0.930,0.930,1.000,1.000,0,1,0,0,0,,1,0,0,1,,,,,,,,,0.72,0.58,0.38,0
501,1,NTE,Not-Tested,,,,,,0.130,1,0,0,0,1,,,,,2,,,,,,,,,,,,.
502,2,NTE,Not-Tested,,,,,,0.270,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
503,3,NTE,Not-Tested,,,,,,0.070,1,2,0,0,0,,,,,3,,,,,,,,,,,,.
504,4,NTE,Not-Tested,,,,,,0.330,1,0,0,1,1,,,,,3,,,,,,,,,,,,-0.25
505,5,NTE,Not-Tested,,,,,,0.070,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
506,6,NTE,Not-Tested,,,,,,0.270,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
508,2,NTE,Not-Tested,,,,,,0.600,0,0,0,0,1,,,,,1,,,,,,,,,,,,-0.04
509,3,NTE,Not-Tested,,,,,,0.000,0,2,3,0,0,,,,,5,,,,,,,,,,,,.
510,4,NTE,Not-Tested,,,,,,0.870,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.25
511,5,NTE,Not-Tested,,,,,,0.000,1,3,0,1,0,,,,,5,,,,,,,,,,,,.
512,6,NTE,Not-Tested,,,,,,0.130,0,1,1,0,0,,,,,2,,,,,,,,,,,,.
513,1,NTE,Not-Tested,,,,,,0.130,0,0,1,0,0,,,,,1,,,,,,,,,,,,.
515,3,NTE,Not-Tested,,,,,,0.270,1,0,1,0,0,,,,,2,,,,,,,,,,,,.
516,4,NTE,Not-Tested,,,,,,0.200,0,0,0,1,1,,,,,2,,,,,,,,,,,,.
517,5,NTE,Not-Tested,,,,,,0.070,0,0,1,0,4,,,,,5,,,,,,,,,,,,.
518,6,NTE,Not-Tested,,,,,,0.330,0,0,0,0,0,,,,,0,,,,,,,,,,,,-0.67
521,3,NTE,Not-Tested,,,,,,0.200,0,1,0,0,1,,,,,2,,,,,,,,,,,,.
522,4,NTE,Not-Tested,,,,,,0.270,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
523,5,NTE,Not-Tested,,,,,,0.330,0,0,0,0,0,,,,,0,,,,,,,,,,,,-0.67
524,6,NTE,Not-Tested,,,,,,0.070,1,0,0,0,0,,,,,1,,,,,,,,,,,,.
525,1,NTE,Not-Tested,,,,,,0.200,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
526,2,NTE,Not-Tested,,,,,,0.600,0,0,0,0,1,,,,,1,,,,,,,,,,,,0.18
528,4,NTE,Not-Tested,,,,,,0.000,0,1,4,0,0,,,,,5,,,,,,,,,,,,.
529,5,NTE,Not-Tested,,,,,,0.200,0,0,0,1,1,,,,,2,,,,,,,,,,,,.
530,6,NTE,Not-Tested,,,,,,0.000,1,1,0,1,0,,,,,3,,,,,,,,,,,,.
531,1,NTE,Not-Tested,,,,,,0.070,0,0,1,1,1,,,,,3,,,,,,,,,,,,.
532,2,NTE,Not-Tested,,,,,,0.400,0,2,1,0,1,,,,,4,,,,,,,,,,,,1
533,3,NTE,Not-Tested,,,,,,0.330,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.17
534,4,NTE,Not-Tested,,,,,,0.130,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
535,5,NTE,Not-Tested,,,,,,0.270,0,1,1,1,1,,,,,4,,,,,,,,,,,,1
536,6,NTE,Not-Tested,,,,,,0.270,0,0,0,0,0,,,,,0,,,,,,,,,,,,1
537,1,NTE,Not-Tested,,,,,,0.600,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.13
538,1,NTE,Not-Tested,,,,,,0.130,0,0,0,1,0,,,,,1,,,,,,,,,,,,.
539,2,NTE,Not-Tested,,,,,,0.270,0,0,0,0,0,,,,,0,,,,,,,,,,,,.
541,4,NTE,Not-Tested,,,,,,0.000,0,0,0,0,3,,,,,3,,,,,,,,,,,,.
543,6,NTE,Not-Tested,,,,,,0.200,0,1,0,0,2,,,,,3,,,,,,,,,,,,1
544,1,NTE,Not-Tested,,,,,,0.130,2,2,2,0,0,,,,,6,,,,,,,,,,,,.
545,2,NTE,Not-Tested,,,,,,0.270,0,0,0,0,1,,,,,1,,,,,,,,,,,,-1
546,3,NTE,Not-Tested,,,,,,0.870,0,1,0,0,0,,,,,1,,,,,,,,,,,,-0.27
547,4,NTE,Not-Tested,,,,,,0.270,0,0,0,1,0,,,,,1,,,,,,,,,,,,.
548,5,NTE,Not-Tested,,,,,,0.070,1,1,0,0,0,,,,,2,,,,,,,,,,,,.
549,6,NTE,Not-Tested,,,,,,0.530,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.5
550,1,NTE,Not-Tested,,,,,,0.870,0,0,1,0,0,,,,,1,,,,,,,,,,,,0.84
551,2,NTE,Not-Tested,,,,,,0.000,1,0,0,2,0,,,,,3,,,,,,,,,,,,.
552,3,NTE,Not-Tested,,,,,,0.270,0,0,0,3,0,,,,,3,,,,,,,,,,,,.
554,5,NTE,Not-Tested,,,,,,0.330,0,0,0,0,1,,,,,1,,,,,,,,,,,,.
555,6,NTE,Not-Tested,,,,,,0.070,1,0,3,0,2,,,,,6,,,,,,,,,,,,.
556,1,NTE,Not-Tested,,,,,,0.130,0,0,0,2,0,,,,,2,,,,,,,,,,,,.
557,2,NTE,Not-Tested,,,,,,0.400,0,0,0,0,0,,,,,0,,,,,,,,,,,,0
561,6,NTE,Not-Tested,,,,,,0.070,1,2,0,0,0,,,,,3,,,,,,,,,,,,.
562,1,NTE,Not-Tested,,,,,,0.600,0,0,0,0,1,,,,,1,,,,,,,,,,,,0.04
564,3,NTE,Not-Tested,,,,,,0.000,0,1,1,2,0,,,,,4,,,,,,,,,,,,.
565,4,NTE,Not-Tested,,,,,,0.600,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.65
566,5,NTE,Not-Tested,,,,,,0.330,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.17
567,6,NTE,Not-Tested,,,,,,0.270,0,0,0,0,0,,,,,0,,,,,,,,,,,,-1
568,1,NTE,Not-Tested,,,,,,0.070,0,0,0,0,2,,,,,2,,,,,,,,,,,,.
571,4,NTE,Not-Tested,,,,,,0.870,0,0,0,0,1,,,,,1,,,,,,,,,,,,0.35
572,5,NTE,Not-Tested,,,,,,0.670,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.44
573,6,NTE,Not-Tested,,,,,,0.470,0,1,0,0,0,,,,,1,,,,,,,,,,,,0.07
574,1,NTE,Not-Tested,,,,,,0.400,0,1,0,2,1,,,,,4,,,,,,,,,,,,0.25
575,2,NTE,Not-Tested,,,,,,0.530,0,0,0,0,0,,,,,0,,,,,,,,,,,,0.64
576,3,NTE,Not-Tested,,,,,,0.330,0,1,0,0,0,,,,,1,,,,,,,,,,,,1
577,4,NTE,Not-Tested,,,,,,0.270,0,0,0,0,1,,,,,1,,,,,,,,,,,,1
578,5,NTE,Not-Tested,,,,,,0.330,0,0,0,0,0,,,,,0,,,,,,,,,,,,-0.67
579,6,NTE,Not-Tested,,,,,,0.330,0,1,0,0,0,,,,,1,,,,,,,,,,,,-0.67
580,1,NTE,Not-Tested,,,,,,1.000,0,0,0,0,0,,,,,0,,,,,,,,,,,,1
